"pid","datname","usename","application_name","client_addr","client_port","state","connection_age","state_age","transaction_age","wait_event_type","wait_event","last_query"
79760,"postgres","postgres","csv","192.168.53.22",52110,"idle","00:07:22.753741","00:01:17.182565",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
64220,"postgres","postgres","csv","192.168.20.111",63394,"idle","00:06:45.548786","00:05:13.995106",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
79412,"postgres","postgres","MKart","192.168.17.42",59276,"idle","00:05:39.456929","00:04:57.90858",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
73872,"postgres","postgres","Files_srv","192.168.100.135",51330,"idle","00:04:39.772071","00:00:01.255196",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
80916,"postgres","postgres","Sozdanie","192.168.17.50",58989,"idle","00:04:35.055309","00:02:25.516135",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
62344,"postgres","postgres","vipoln","192.168.17.48",57846,"idle","00:03:01.714492","00:00:24.258151",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
79920,"postgres","postgres","csv","192.168.20.66",62541,"idle","00:02:28.916223","00:01:12.037007",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
76836,"postgres","postgres","Sozdanie","192.168.17.42",59419,"idle","00:02:15.647011","00:01:45.406512",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
79348,"postgres","postgres","TehKart","192.168.19.84",51388,"idle","00:02:04.921745","00:00:05.718654",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
74556,"postgres","postgres","b24_deal_service","192.168.100.135",52146,"idle","00:02:01.551667","00:01:19.192446",NULL,"Client","ClientRead","
            INSERT INTO ""mes_probe"".""client_sessions"" (
                session_id, client_id, app_name, app_version, process_id,
                started_at, last_seen_at, snapshot
            ) VALU"
69552,"postgres","postgres","Users_srv","192.168.100.135",52440,"idle","00:01:17.410984","00:00:07.116287",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
80396,"postgres","postgres","TehKart","192.168.19.119",63723,"idle","00:01:00.784663","00:00:03.521868",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
80136,"postgres","postgres","Files_srv","192.168.100.135",52517,"idle","00:00:58.402252","00:00:02.668643",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
74284,"postgres","postgres","KPlan_srv","192.168.100.135",52618,"idle","00:00:29.352322","00:00:06.711568",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
80920,"postgres","postgres","MKart","192.168.17.50",59058,"idle","00:00:24.682521","00:00:24.609994",NULL,"Client","ClientRead","SELECT 123 AS mes_connection_probe"
68404,NULL,NULL,"","192.168.17.149",52124,"starting","-00:00:00.197007",NULL,NULL,"Client","ClientRead",""
